Geography,Age_Group,Disease,Predicted2024,LowerBound,UpperBound
Aberdeen City,Ages0to4,Asthma,160.69179433743014,137.525297972288,184.30212629781767
Aberdeen City,Ages15to24,Asthma,1919.1530445793858,1653.04504136381,2187.148316353133
Aberdeen City,Ages25to44,Asthma,2451.2443558972027,2111.6968624247706,2792.838606698138
Aberdeen City,Ages45to64,Asthma,3230.653418753869,2784.597709191541,3679.2988205041966
Aberdeen City,Ages5to14,Asthma,1611.0357239118398,1387.2170527911844,1836.560266365853
Aberdeen City,Ages65to74,Asthma,3120.4454530411326,2689.0412587299966,3554.2501672375556
Aberdeen City,Ages75to84,Asthma,2493.6280912476864,2148.238941361464,2841.0519843636366
Aberdeen City,Ages85plus,Asthma,2180.7151806986467,1878.336842621561,2485.3141019475365
Aberdeen City,Ages0to4,Atrial Fibrillation,7.66809393678473e-06,0.0,1.2999615183850502e-14
Aberdeen City,Ages15to24,Atrial Fibrillation,7.66809393678473e-06,0.0,8.94874172239514e-13
Aberdeen City,Ages25to44,Atrial Fibrillation,15.808610805087548,7.7744268288883855,24.61631568425016
Aberdeen City,Ages45to64,Atrial Fibrillation,431.6130806570669,221.43376174432893,645.2802346026281
Aberdeen City,Ages5to14,Atrial Fibrillation,7.66809393678473e-06,0.0,1.599513134971124e-13
Aberdeen City,Ages65to74,Atrial Fibrillation,2029.179499794778,1045.8290162939306,3019.906361036919
Aberdeen City,Ages75to84,Atrial Fibrillation,4181.302996363529,2158.286973594284,6213.50894541433
Aberdeen City,Ages85plus,Atrial Fibrillation,7297.658354643443,3769.864977325398,10835.425193311661
Aberdeen City,Ages0to4,Cancer,0.19607501226667468,0.07663841175875785,0.3905132692151846
Aberdeen City,Ages15to24,Cancer,20.645063837213392,12.322464034843295,29.64195910275832
Aberdeen City,Ages25to44,Cancer,290.644373562348,178.9446204478424,404.76250983354316
Aberdeen City,Ages45to64,Cancer,1769.8100671206905,1097.3806417583871,2447.905558479804
Aberdeen City,Ages5to14,Cancer,7.323345626167241,4.255399260432556,10.77094750210378
Aberdeen City,Ages65to74,Cancer,4858.878638627569,3018.1019055218503,6708.7916526101535
Aberdeen City,Ages75to84,Cancer,6456.751823063861,4012.4001363078455,8910.625955675094
Aberdeen City,Ages85plus,Cancer,7267.215574749629,4516.782399976434,10027.659350458556
Aberdeen City,Ages0to4,Chronic Kidney Disease (CKD),8.223272721272363e-06,0.0,3.333638297403564e-14
Aberdeen City,Ages15to24,Chronic Kidney Disease (CKD),0.06168276868226399,0.013067807198476854,0.16915491734750004
Aberdeen City,Ages25to44,Chronic Kidney Disease (CKD),17.583009955897285,8.437438699254287,27.473402262853543
Aberdeen City,Ages45to64,Chronic Kidney Disease (CKD),481.16633430337237,239.06088086554087,727.1721621723743
Aberdeen City,Ages5to14,Chronic Kidney Disease (CKD),8.223272721272363e-06,0.0,2.1933400467833417e-13
Aberdeen City,Ages65to74,Chronic Kidney Disease (CKD),2607.4907244940623,1301.750424780298,3921.544189896552
Aberdeen City,Ages75to84,Chronic Kidney Disease (CKD),6300.420884317037,3149.782734360082,9463.243218377616
Aberdeen City,Ages85plus,Chronic Kidney Disease (CKD),13005.043434978326,6506.618309488055,19516.550027090205
Aberdeen City,Ages0to4,Chronic Obstructive Pulmonary Disease (COPD),0.11458563550385643,0.04095074080451862,0.24203792561243775
Aberdeen City,Ages15to24,Chronic Obstructive Pulmonary Disease (COPD),7.297983281565279e-06,0.0,3.953263875745301e-14
Aberdeen City,Ages25to44,Chronic Obstructive Pulmonary Disease (COPD),34.315681823019965,21.147449059839047,48.265906671644856
Aberdeen City,Ages45to64,Chronic Obstructive Pulmonary Disease (COPD),984.3440850652747,622.7269045760719,1349.4979065739021
Aberdeen City,Ages5to14,Chronic Obstructive Pulmonary Disease (COPD),0.10509825723782158,0.037624297987963275,0.22482757235732637
Aberdeen City,Ages65to74,Chronic Obstructive Pulmonary Disease (COPD),2683.7829754876966,1701.8007156759495,3671.0566579559245
Aberdeen City,Ages75to84,Chronic Obstructive Pulmonary Disease (COPD),3204.4538746489607,2032.696402932587,4381.885621852872
Aberdeen City,Ages85plus,Chronic Obstructive Pulmonary Disease (COPD),2774.6222867500783,1759.4881126788962,3795.3262739640563
Aberdeen City,Ages0to4,Coronary Heart Disease (CHD),8.215871312286171e-06,0.0,3.940543569708138e-14
Aberdeen City,Ages15to24,Coronary Heart Disease (CHD),0.04930344374502931,0.010276114666459927,0.13474356258589418
Aberdeen City,Ages25to44,Coronary Heart Disease (CHD),30.596395129136912,17.074276401197157,44.95422469379996
Aberdeen City,Ages45to64,Coronary Heart Disease (CHD),1485.7448622033298,852.4408594013702,2124.602835002492
Aberdeen City,Ages5to14,Coronary Heart Disease (CHD),8.215871312286171e-06,0.0,1.0437875174479106e-13
Aberdeen City,Ages65to74,Coronary Heart Disease (CHD),4543.445856123927,2612.6828419057097,6483.306932728587
Aberdeen City,Ages75to84,Coronary Heart Disease (CHD),6738.616501653589,3877.177238297821,9610.671097087874
Aberdeen City,Ages85plus,Coronary Heart Disease (CHD),9408.628681856651,5415.652914739988,13412.324381556813
Aberdeen City,Ages0to4,Dementia,9.007252097885021e-06,0.0,1.28942535455247e-12
Aberdeen City,Ages15to24,Dementia,9.007252097885021e-06,0.0,3.40325479525994e-15
Aberdeen City,Ages25to44,Dementia,9.007252097885021e-06,0.0,7.240161129986033e-13
Aberdeen City,Ages45to64,Dementia,19.36422753505865,7.12588683207742,32.618596713646575
Aberdeen City,Ages5to14,Dementia,9.007252097885021e-06,0.0,4.2188394713820734e-13
Aberdeen City,Ages65to74,Dementia,409.3092329225895,155.98331434390178,667.3126450080999
Aberdeen City,Ages75to84,Dementia,1837.8271520681915,704.1869754688332,2979.379842857397
Aberdeen City,Ages85plus,Dementia,6078.359867910211,2334.565888468239,9831.618798324576
Aberdeen City,Ages0to4,Depression,7.4924304286238155e-06,0.0,6.551304820363114e-14
Aberdeen City,Ages15to24,Depression,1142.1306497969254,873.4021780991608,1413.0959431639492
Aberdeen City,Ages25to44,Depression,3943.017361813196,3022.0435183846544,4868.130827327926
Aberdeen City,Ages45to64,Depression,4686.008611562609,3592.3180356602934,5784.566558152811
Aberdeen City,Ages5to14,Depression,2.0604258603019776,1.4042172949788216,2.838876947239234
Aberdeen City,Ages65to74,Depression,3414.3805937870443,2615.7144838619547,4217.032236663067
Aberdeen City,Ages75to84,Depression,2236.6722496589136,1712.2083318792063,2764.7341393859065
Aberdeen City,Ages85plus,Depression,1814.4855968047907,1388.669475684625,2243.727794859853
Aberdeen City,Ages0to4,Diabetes,1.100724230761004,0.6264688814352092,1.7091849931291505
Aberdeen City,Ages15to24,Diabetes,238.37888445610628,159.7858185525102,318.7179537909711
Aberdeen City,Ages25to44,Diabetes,631.2876553572239,424.8600048201716,840.6767552473921
Aberdeen City,Ages45to64,Diabetes,2954.622483306634,1996.6584768700798,3918.4814270226657
Aberdeen City,Ages5to14,Diabetes,62.892044964952035,41.80628817928269,84.76155019755898
Aberdeen City,Ages65to74,Diabetes,5767.5152758785825,3901.5548934178437,7641.215936380098
Aberdeen City,Ages75to84,Diabetes,6190.351257613083,4188.287554448718,8200.143337859296
Aberdeen City,Ages85plus,Diabetes,6230.907835837762,4215.165393135377,8254.764792521899
Aberdeen City,Ages0to4,Eating Disorder,1.0088409962830123,0.49420873180966307,1.69822637893516
Aberdeen City,Ages15to24,Eating Disorder,289.6493358490851,171.56721691926515,410.1176598250097
Aberdeen City,Ages25to44,Eating Disorder,372.6700852635382,221.2689639982357,526.3524702753346
Aberdeen City,Ages45to64,Eating Disorder,304.7880195953379,180.65462236643202,431.3588619864933
Aberdeen City,Ages5to14,Eating Disorder,15.444615420731646,8.706186433838738,22.944774073533946
